"gene_id","root_control_1","root_control_2","root_control_3","root_auxin_1","root_auxin_2","root_auxin_3","root_ABA_1","root_ABA_2","root_ABA_3","root_MeJas_1","root_MeJas_2","root_MeJas_3","root_ACC_1","root_ACC_2","root_ACC_3"
"AT2G14440",9.12812467789188,1.9992487256638,5.3196515435751,5.41701931280078,0,0,0,0,2.32707022722364,3.92231905171275,0,0,9.0140218808307,3.37606712514055,0
"AT2G14460",2292.98491908644,2209.1698418585,2130.14046809157,2125.27724372217,2131.4867576961,2155.81011489136,1234.21258521326,1255.44689609423,1228.69307997408,1692.48067081405,1892.4781871542,1650.59617170871,2117.39373980713,2157.30689296481,2168.37490986065
"AT2G14500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G14510",443.626859345546,310.88317684072,280.421631368459,429.750198815528,246.414654068914,322.294080626956,89.4356945806711,40.9384857422031,109.372300679511,403.998862326413,260.432778048743,266.520379770013,423.659028399043,232.948631634698,331.571891556361
"AT2G14520",590.589666659605,592.777247159316,626.958931921351,414.401977429259,649.207838604638,642.71435845957,1055.34119605192,1126.94553807009,1100.70421747678,562.85278392078,749.829373465339,610.823531318399,542.644117226008,679.714847861631,690.336186917609
"AT2G14530",1349.13682739242,1368.48575271687,1599.69521417508,1203.48112399391,1454.79420767609,1285.42871691914,1258.97939294329,1445.35598273167,1324.10295929025,1207.0936881646,1317.35580229656,1316.58779877805,1234.01959548572,1479.84275651994,1457.86371366845
"AT2G14540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2G14560",5.47687480673513,3.99849745132759,3.03980088204291,0.902836552133463,0,0,0,0,0,0,0,0,15.3238371974122,6.7521342502811,5.26304589772002
"AT2G14580",0,0,0,0,0,0,0,0,0,1.96115952585638,0,0,0,0,0
"AT2G14610",18.2562493557838,16.9936141681423,25.8383074973648,20.7652406990696,22.7459680678997,14.9904223547422,38.5261453578276,26.1551436686298,34.9060534083546,25.4950738361329,36.8946435569052,20.5895572354517,45.0701094041535,20.2564027508433,42.1043671817602
"AT2G14620",416.24248531187,365.862516796475,551.723860090789,371.968659478987,446.389623332532,617.418020735943,850.327065397766,844.924858512692,907.557388617221,401.057123037629,681.465769227544,625.693767099559,426.363234963292,406.253410725246,497.357837334542
