gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT4G28250,6579.31522200237,-2.76528831027666,0.180936118221057,-15.2832300010891,9.89140735249875e-53,1.3716663307006e-50
AT2G28080,1911.98949724798,-1.68627433265889,0.110494050018863,-15.261222956087,1.38625629962899e-52,1.91117997866874e-50
AT4G10955,2265.26228208345,1.48937832941319,0.097609166796258,15.258590748162,1.44331866848982e-52,1.96697790723558e-50
AT4G10960,2265.26228208345,1.48937832941319,0.097609166796258,15.258590748162,1.44331866848982e-52,1.96697790723558e-50
AT4G17870,9066.40282350731,-1.92722323605946,0.126348466348696,-15.2532380625873,1.56667119953095e-52,2.12288423739871e-50
AT4G21440,607.732968405125,5.89749930421933,0.386924159651321,15.2420032637246,1.86076497745127e-52,2.50706363126715e-50
AT4G01610,26205.5210674281,1.41956618349182,0.0931406675950309,15.241099512664,1.88668447958188e-52,2.52762424092232e-50
AT3G56310,10658.6693818229,1.03763293949421,0.0681216374536707,15.2320610349377,2.1665255204477e-52,2.88622582395373e-50
AT4G00430,6760.01039819746,1.91276545186907,0.125739929398221,15.2120767128102,2.94064582867873e-52,3.89561645449491e-50
AT4G30960,35401.6408340764,1.82091030479082,0.119968817927922,15.1781966034277,4.93154772824114e-52,6.49676618221012e-50
AT1G56680,2093.37118019845,-3.08467028331294,0.204051912190671,-15.1170858934689,1.24950918033291e-51,1.63699509354885e-49
AT1G75370,3474.80657214467,1.35335256362905,0.0897950423321149,15.0715733127399,2.49109412235173e-51,3.24567664413883e-49
AT2G23610,4631.54371497401,2.00362436056486,0.132985818489825,15.0664513202825,2.69188680008347e-51,3.48812632187865e-49
AT3G46450,2471.05323607353,1.42465735530138,0.0946629155952303,15.0497937480933,3.46312303484679e-51,4.46309981115881e-49
AT5G09520,3551.36914976339,4.06463376104453,0.270769418996341,15.0114210685641,6.18091506184671e-51,7.92259669522005e-49
AT1G54890,1817.1935900821,-2.27993401151221,0.152735892723235,-14.9272968577435,2.18964065322536e-50,2.7915563876308e-48
AT3G27820,7863.10843341398,1.25555062276914,0.084252710635642,14.9021985559476,3.18910485741806e-50,4.04402371571948e-48
AT1G79520,2751.2262448421,2.57973787050938,0.173195110203563,14.8949809695973,3.55285783778869e-50,4.4813254206108e-48
AT5G10930,2163.38667168233,1.67448490621812,0.112508748318757,14.8831529213534,4.24036057799129e-50,5.32019420031257e-48
AT3G50400,4232.58484416749,3.74818992196024,0.251881476645056,14.8807684149084,4.39423410729115e-50,5.48423544137868e-48
AT1G24130,289.791130627174,2.2438880023231,0.150895377297778,14.8704886955881,5.12379549939118e-50,6.36128600403471e-48
AT1G01720,4427.60093256693,1.78470507485503,0.120229260329756,14.8441824391173,7.58741727174688e-50,9.3708555085903e-48
AT4G39955,5200.04604342789,1.23263661278098,0.0832323552870362,14.8095846684873,1.27022743150173e-49,1.5606685535337e-47
AT4G34230,11552.6137734166,1.8002067176592,0.121899856317398,14.7679150086272,2.35898302486806e-49,2.88343115818023e-47
AT5G24930,2567.09352188292,1.78056870342408,0.120681547406974,14.754274714588,2.88779159415808e-49,3.51170267037285e-47
AT3G54680,3234.10761064187,1.15025776948396,0.0780238433598488,14.7423879669568,3.44388596494935e-49,4.16657489218591e-47
AT5G63350,1197.7429208088,6.09979861945606,0.413854889085747,14.7389792420508,3.62218188555981e-49,4.36004056102943e-47
AT2G23110,172.257179856624,6.55442438288611,0.444925284700298,14.7315169721163,4.04522363710472e-49,4.84466606599314e-47
AT3G22600,18722.1790161704,3.34791246241683,0.227603555390132,14.7094031843141,5.60999966404008e-49,6.6849207051951e-47
AT5G13370,2336.21167612516,2.02531065363498,0.137890184633518,14.687852213831,7.71196695152844e-49,9.14369361607969e-47
AT4G22820,5362.80945643888,1.44863465881934,0.0986702802323009,14.6815703310947,8.46080913510838e-49,9.98165010053856e-47
AT2G46680,10029.1864785077,3.67158057537743,0.250310706233828,14.6680924304836,1.03205889654096e-48,1.21154517889484e-46
AT5G05870,667.667608909763,1.67446841492803,0.114209635179835,14.6613585823246,1.13969511420249e-48,1.33130986419131e-46
AT1G18460,2624.84508519118,1.15356509394694,0.0786965938850199,14.6583865577761,1.19068785775559e-48,1.38405790053717e-46
AT2G35300,273.040735607816,7.10592815780552,0.486951005740033,14.5926963370913,3.12594504358158e-48,3.61587974724147e-46
AT1G29640,1373.36109612633,1.99955604205015,0.1370976656898,14.5849021716707,3.50423948356876e-48,4.03378790649835e-46
AT2G43480,548.610355696114,-1.90024118020753,0.130483771706352,-14.5630460811934,4.82586252231776e-48,5.52829362278845e-46
AT5G67140,514.167696965199,2.61057958385506,0.179545958228867,14.539896133598,6.76952885233325e-48,7.7175883497778e-46
AT1G69480,1228.9620335814,3.28748638191112,0.226138304198828,14.5375034696495,7.01030188082081e-48,7.95384155501932e-46
AT1G01610,4943.16149478938,2.6565732423031,0.182798405819177,14.5328031193607,7.50839301315389e-48,8.47840588194848e-46
AT3G03341,925.939486373484,10.3454087861179,0.712049040842849,14.5290677926792,7.92921417347928e-48,8.91115903771158e-46
AT4G37760,2704.70672110748,1.84230967708513,0.126942863235869,14.5129047047094,1.00378272615747e-47,1.12276885780057e-45
AT1G30220,89.4539342466249,4.20441626310384,0.289787682493808,14.5086092925764,1.06865253295954e-47,1.18971631521454e-45
AT3G53160,528.491006170927,2.19024280546861,0.151096942082703,14.4956130499966,1.29144187959371e-47,1.43102622854232e-45
AT1G08230,1157.05941055869,1.81520539264289,0.125458613118313,14.4685593720941,1.9143989355364e-47,2.10544308511301e-45
AT1G50580,965.931304689204,-2.05561268164949,0.142075665170494,-14.4684360913089,1.91783286123397e-47,2.10544308511301e-45
AT1G54000,51836.326246131,-1.99340396944825,0.137820040446653,-14.4638179105734,2.05098318352082e-47,2.24124259128246e-45
AT3G62990,377.804944874713,4.69159232197023,0.324404070059719,14.4621869913857,2.10017144053221e-47,2.28446630134589e-45
AT1G23330,2437.56566928664,1.95080807083371,0.135349454032445,14.4131210929456,4.27926842067242e-47,4.63352931778106e-45
AT5G13900,2195.59147223795,3.7204266566607,0.258280627737233,14.4045904226536,4.84179604687247e-47,5.21879589361304e-45
AT1G54540,2564.26300275907,3.07081428954903,0.213301775178781,14.3965716505416,5.43746144091078e-47,5.8343223144035e-45
AT3G27870,1095.12804937763,2.20154301531026,0.153109034378563,14.3789229959281,7.01781389356453e-47,7.49610003865296e-45
AT5G22290,880.867863382436,1.77062717689489,0.123288131535554,14.3617001477898,8.99920840481265e-47,9.56942730508172e-45
AT2G36640,219.380773616985,4.08763872536529,0.284816938168516,14.3518105055493,1.03791824675127e-46,1.09875693683986e-44
AT4G21850,20520.6574459797,-2.21559897646955,0.154445571825056,-14.3455001673936,1.13677749702427e-46,1.19806243497496e-44
AT1G49450,2741.56471650105,4.94781588813577,0.34572338835184,14.3114873185855,1.85503136679164e-46,1.94638755755443e-44
AT5G57390,994.316897343266,1.75546132017265,0.122727020440727,14.3037883089525,2.07215518570753e-46,2.16462625192435e-44
AT1G27020,3641.68583444709,-3.76535137008022,0.263311655647876,-14.2999798501726,2.18872920247557e-46,2.27637436746943e-44
